"","G","A","RepoUrl","Dataset","Cloned","LastCommitDate","Commits","Branches","Tags","Committers","CommitID","RootPOM","Compile","Test1","Tests","Test2"
"98","GateNLP","gcp","https://github.com/GateNLP/gcp.git","test","true","MonJul2219:40:362019+0100",64,1,4,3,"fc7104ed778449fb3d4e32b7befa528e0beff6a6","true","true","true",0,"true"
"99","GoogleCloudPlatform","java-repo-tools","https://github.com/GoogleCloudPlatform/java-repo-tools.git","test","true","WedApr1714:54:052019-0700",164,1,14,12,"f0bcc77a53d85441cc354ff1c05399b286f3ecf9","true","true","true",0,"true"
"100","GoogleCloudPlatform","java-repo-tools","https://github.com/GoogleCloudPlatform/java-repo-tools.git","test","true","WedApr1714:54:052019-0700",164,1,14,12,"f0bcc77a53d85441cc354ff1c05399b286f3ecf9","true","true","true",0,"true"
"101","GoogleCloudPlatform","java-repo-tools","https://github.com/GoogleCloudPlatform/java-repo-tools.git","test","true","WedApr1714:54:052019-0700",164,1,14,12,"f0bcc77a53d85441cc354ff1c05399b286f3ecf9","true","true","true",0,"true"
"102","GoogleCloudPlatform","java-repo-tools","https://github.com/GoogleCloudPlatform/java-repo-tools.git","test","true","WedApr1714:54:052019-0700",164,1,14,12,"f0bcc77a53d85441cc354ff1c05399b286f3ecf9","true","true","true",0,"true"
"103","GoogleCloudPlatform","stackdriver-zipkin","https://github.com/GoogleCloudPlatform/stackdriver-zipkin.git","test","true","TueNov516:30:122019+0900",278,1,51,33,"42475899f69f7277ad6ceff0e67fb66c8c691731","true","true","false",NA,NA
"104","graphhopper","graphhopper","https://github.com/graphhopper/graphhopper.git","test","true","TueDec1008:48:492019+0100",5587,1,73,118,"874a4b086ec590d92868c56c3d3c40de88035ca8","true","true","true",0,"true"
"105","guusdk","httpfileuploadcomponent","https://github.com/guusdk/httpfileuploadcomponent.git","test","true","SunNov1714:45:282019+0100",45,1,6,4,"c87466637b15b4a6394f00769bafb83fe6239119","true","true","true",0,"true"
"106","guusdk","httpfileuploadcomponent","https://github.com/guusdk/httpfileuploadcomponent.git","test","true","SunNov1714:45:282019+0100",45,1,6,4,"c87466637b15b4a6394f00769bafb83fe6239119","true","true","true",0,"true"
"107","hadix-lin","springfox-plus","https://github.com/hadix-lin/springfox-plus.git","test","true","MonAug515:22:442019+0800",30,1,0,3,"cab7a551d7847f10328a808c234131e963f4e2bb","true","true","true",0,"true"
"108","home1-oss","oss-admin","https://github.com/home1-oss/oss-admin.git","test","true","MonSep1121:40:592017+0800",28,1,2,4,"a5935a0ff5397585a77f29ffb418b24e14e67f31","true","true","true",2,"true"
"109","home1-oss","oss-keygen","https://github.com/home1-oss/oss-keygen.git","test","true","MonSep1103:26:212017+0800",20,1,1,4,"81fb4525dbce35a620743cd1cd11900a052523fe","true","true","true",3,"true"
"110","home1-oss","oss-turbine","https://github.com/home1-oss/oss-turbine.git","test","true","ThuSep1423:50:292017+0800",22,1,2,4,"1df20070e2c021283522a2423fcf7661304f4249","true","true","true",0,"true"
"111","honnix","kheos","https://github.com/honnix/kheos.git","test","true","SatAug1120:20:112018+0200",158,1,6,3,"9820a6fd539c3f59c746b19c996a8a4f3140307f","true","true","true",207,"true"
"112","Hygieia","hygieia-build-jenkins-collector","https://github.com/Hygieia/hygieia-build-jenkins-collector.git","test","true","ThuDec518:06:272019-0500",92,1,2,32,"88ca26f63647de65fa6b1dbe09dcd9b6df7a156b","true","true","true",30,"true"
"113","icha024","spur","https://github.com/icha024/spur.git","test","true","FriNov1616:29:382018+0000",69,1,3,2,"0c85d4d0bbd70f95c82cab51b102f438c5a08542","true","true","true",0,"true"
